Vehicle Number,Blacklist Flag,No. of Fines,Color,Fitness Upto,Insurance Upto,Insurance Comp,Maker,Rc Status,Registration Date,RTO,Year of Purchase,Type of Car,Pollution Cert Validity
MH 55 SO 2952,yes,9,Black,14-04-2029,06-11-2029,Oriental Insurance,Maruti Suzuki,ACTIVE,25-10-2016,MH,2012,personal,09-03-2031
GA 51 LX 3834,no,0,Black,04-07-2029,06-01-2029,New India Assurance,Hyundai,DEACTIVE,11-01-2020,GA,2022,commercial,13-03-2032
AS 61 AF 2892,yes,8,Silver,25-11-2032,10-01-2026,HDFC ERGO,HERO MOTOCORP LTD,ACTIVE,19-09-2010,AS,2016,personal,24-09-2026
ML 66 EM 6641,yes,9,Blue,16-02-2025,02-05-2030,ICICI LOMBARD,Toyota,DEACTIVE,14-10-2019,ML,2005,personal,11-08-2030
NL 66 GE 8862,no,0,Black,04-07-2026,13-07-2029,HDFC ERGO,Honda,DEACTIVE,11-06-2016,NL,2000,personal,08-10-2031
RJ 19 EI 7067,yes,9,White,19-05-2029,05-09-2031,New India Assurance,Maruti Suzuki,DEACTIVE,27-05-2019,RJ,2016,personal,24-02-2025
OD 95 GH 7828,no,0,White,28-11-2031,09-04-2029,Reliance General,Maruti Suzuki,DEACTIVE,10-02-2013,OD,2019,personal,21-10-2023
NL 84 EW 2987,no,0,White,19-03-2027,22-11-2030,Oriental Insurance,Honda,DEACTIVE,26-11-2012,NL,2020,personal,26-02-2030
NL 23 CO 8092,yes,2,Blue,01-09-2027,23-03-2033,New India Assurance,Tata Motors,DEACTIVE,06-05-2022,NL,2013,personal,29-04-2033
JH 67 HG 8093,no,0,Red,28-08-2030,18-09-2025,Future Generali,Honda,DEACTIVE,18-10-2017,JH,2011,commercial,26-09-2026
KA 97 RC 2676,no,0,Green,19-03-2024,09-10-2023,Bajaj Allianz,HERO MOTOCORP LTD,ACTIVE,29-01-2011,KA,2022,commercial,18-06-2029
AP 75 CM 8298,no,0,Green,15-06-2030,20-11-2032,HDFC ERGO,Maruti Suzuki,ACTIVE,25-10-2013,AP,2003,personal,29-05-2027
MH 16 CN 8520,no,0,Green,05-11-2028,01-02-2031,United India Insurance,Tata Motors,ACTIVE,06-06-2010,MH,2000,personal,03-05-2031
KA 31 MU 5734,yes,4,Red,29-11-2023,17-07-2032,SBI General,HERO MOTOCORP LTD,DEACTIVE,05-05-2016,KA,2003,commercial,02-02-2026
GJ 78 TZ 6284,yes,8,Silver,27-07-2028,22-08-2026,ICICI LOMBARD,HERO MOTOCORP LTD,DEACTIVE,11-09-2015,GJ,2016,personal,01-12-2023
MH 41 VJ 1970,no,0,Blue,09-09-2023,03-11-2025,Tata AIG,Honda,DEACTIVE,24-01-2010,MH,2022,personal,11-05-2027
UK 96 DD 7264,yes,4,Silver,21-02-2030,05-06-2028,HDFC ERGO,Tata Motors,ACTIVE,16-12-2018,UK,2004,commercial,17-01-2032
AR 21 WL 1839,yes,3,Silver,11-04-2032,17-07-2030,United India Insurance,HERO MOTOCORP LTD,DEACTIVE,22-06-2021,AR,2002,commercial,17-01-2027
WB 97 JD 9333,yes,5,White,07-10-2026,20-01-2027,Future Generali,Maruti Suzuki,DEACTIVE,29-04-2020,WB,2000,personal,15-01-2030
GA 14 JB 8716,yes,9,Yellow,07-04-2024,14-05-2028,ICICI LOMBARD,HERO MOTOCORP LTD,DEACTIVE,19-02-2011,GA,2018,personal,19-04-2031
BR 61 PE 4297,no,0,Yellow,01-03-2028,25-05-2033,SBI General,HERO MOTOCORP LTD,DEACTIVE,03-12-2015,BR,2010,commercial,22-07-2028
GA 83 SN 2285,yes,4,Black,05-04-2024,29-01-2030,Tata AIG,Toyota,DEACTIVE,31-08-2010,GA,2021,commercial,15-03-2033
NL 22 AN 5290,no,0,Black,24-02-2026,13-08-2024,Tata AIG,Hyundai,ACTIVE,03-12-2017,NL,2004,commercial,11-05-2031
SK 78 DC 3384,yes,3,Red,07-03-2031,02-02-2031,Reliance General,Toyota,ACTIVE,12-04-2023,SK,2010,commercial,10-10-2023
TR 74 QG 2513,yes,9,Green,17-07-2025,23-07-2033,HDFC ERGO,Tata Motors,DEACTIVE,14-05-2011,TR,2013,personal,13-03-2024
UK 87 NI 6372,no,0,White,07-03-2033,20-12-2023,United India Insurance,Toyota,DEACTIVE,19-03-2021,UK,2015,commercial,23-11-2029
AP 55 PA 5308,no,0,Blue,09-12-2027,28-01-2032,United India Insurance,Toyota,DEACTIVE,01-04-2018,AP,2006,personal,20-10-2030
KA 39 DY 2407,yes,9,Black,03-06-2026,13-10-2028,Bajaj Allianz,HERO MOTOCORP LTD,ACTIVE,20-06-2017,KA,2003,commercial,23-03-2030
AP 44 MX 1392,no,0,Green,27-09-2029,30-07-2023,United India Insurance,HERO MOTOCORP LTD,ACTIVE,17-10-2012,AP,2021,commercial,23-12-2024
CG 99 TJ 4760,yes,8,White,12-01-2032,27-02-2028,New India Assurance,Hyundai,DEACTIVE,10-03-2018,CG,2013,commercial,24-02-2025
AR 16 JR 6816,no,0,Red,05-10-2031,20-09-2029,Bajaj Allianz,Tata Motors,ACTIVE,28-04-2023,AR,2018,personal,05-11-2025
MH 65 LX 6388,yes,9,Green,10-12-2032,01-02-2033,United India Insurance,Tata Motors,ACTIVE,21-02-2016,MH,2020,commercial,26-05-2026
KA 78 LT 1121,yes,3,Silver,15-03-2028,29-05-2030,United India Insurance,Maruti Suzuki,ACTIVE,01-02-2012,KA,2020,commercial,08-08-2029
MN 50 PP 6232,yes,8,Yellow,19-09-2025,09-10-2025,Future Generali,Honda,ACTIVE,18-04-2014,MN,2007,commercial,08-02-2032
JH 29 UW 3021,no,0,Black,17-04-2026,26-11-2030,New India Assurance,Tata Motors,ACTIVE,05-02-2018,JH,2017,commercial,06-01-2028
TR 47 EB 1461,yes,8,White,10-06-2030,04-01-2025,New India Assurance,Tata Motors,ACTIVE,02-06-2023,TR,2016,personal,16-05-2024
UK 38 EK 5497,yes,8,Red,06-02-2026,08-05-2026,Future Generali,Honda,DEACTIVE,08-10-2013,UK,2023,personal,20-08-2023
OD 24 UF 7683,yes,4,Silver,26-12-2031,04-11-2024,HDFC ERGO,Honda,DEACTIVE,22-08-2017,OD,2002,commercial,25-09-2030
NL 22 XU 4927,no,0,Red,23-01-2026,31-01-2028,Future Generali,Toyota,ACTIVE,24-12-2016,NL,2008,commercial,29-06-2033
UP 62 NV 1274,yes,10,Yellow,23-03-2029,01-08-2025,Oriental Insurance,Toyota,DEACTIVE,02-04-2013,UP,2002,commercial,01-05-2029
KA 11 NB 8381,no,0,Silver,07-07-2032,19-08-2032,New India Assurance,Toyota,ACTIVE,11-06-2010,KA,2003,personal,12-01-2024
GA 95 TZ 2246,yes,6,Blue,09-12-2024,05-03-2026,HDFC ERGO,HERO MOTOCORP LTD,ACTIVE,22-02-2023,GA,2007,personal,03-03-2029
TN 81 UC 6374,no,0,Silver,22-02-2032,23-11-2032,Bajaj Allianz,Toyota,DEACTIVE,19-04-2020,TN,2023,personal,15-12-2030
NL 15 PZ 9778,yes,7,Silver,02-06-2032,18-09-2028,New India Assurance,Maruti Suzuki,ACTIVE,03-11-2013,NL,2014,commercial,11-09-2027
MZ 67 BD 9539,yes,5,Yellow,08-06-2028,05-08-2025,SBI General,Maruti Suzuki,ACTIVE,23-03-2012,MZ,2003,commercial,25-08-2024
GA 53 TF 3332,yes,4,Silver,18-10-2025,31-03-2029,Reliance General,Tata Motors,ACTIVE,11-04-2010,GA,2010,personal,04-10-2027
HR 88 MV 6065,no,0,Green,20-03-2029,28-09-2031,New India Assurance,HERO MOTOCORP LTD,DEACTIVE,03-08-2018,HR,2022,personal,28-11-2029
WB 63 VP 3172,no,0,White,20-10-2026,11-02-2029,Reliance General,Toyota,ACTIVE,15-02-2012,WB,2000,personal,11-04-2028
PB 42 KW 8031,no,0,Yellow,31-07-2023,12-09-2026,ICICI LOMBARD,Maruti Suzuki,ACTIVE,26-01-2023,PB,2020,personal,04-05-2029
UK 84 XP 8196,yes,10,White,25-01-2032,04-11-2028,Bajaj Allianz,Maruti Suzuki,ACTIVE,26-03-2019,UK,2022,commercial,03-05-2024
GA 20 CX 1243,no,0,Yellow,04-03-2026,19-03-2026,Reliance General,Toyota,DEACTIVE,24-08-2016,GA,2008,personal,15-06-2029
AS 88 HQ 5587,no,0,Blue,16-12-2031,17-08-2027,Future Generali,Maruti Suzuki,DEACTIVE,13-01-2022,AS,2023,commercial,01-01-2025
MZ 32 NL 7136,yes,1,Silver,25-01-2028,16-03-2028,Reliance General,Honda,ACTIVE,04-07-2019,MZ,2022,commercial,01-05-2026
CG 61 TV 6783,yes,10,Black,30-05-2025,02-06-2031,ICICI LOMBARD,Honda,DEACTIVE,07-07-2020,CG,2018,commercial,12-09-2025
OD 22 AW 3299,no,0,Black,20-01-2029,14-01-2025,ICICI LOMBARD,Hyundai,DEACTIVE,28-02-2019,OD,2014,personal,09-06-2031
HR 18 EI 9154,yes,3,Black,14-07-2025,08-05-2033,Future Generali,Honda,ACTIVE,03-10-2022,HR,2001,commercial,16-07-2029
UP 72 RJ 9098,yes,9,Silver,31-10-2032,30-01-2026,United India Insurance,Honda,ACTIVE,26-05-2013,UP,2000,personal,08-08-2027
MH 59 VQ 3905,yes,4,Yellow,16-10-2027,15-11-2028,ICICI LOMBARD,Honda,DEACTIVE,26-10-2011,MH,2022,personal,06-12-2027
MP 93 JC 6245,no,0,Blue,07-02-2033,27-10-2029,New India Assurance,HERO MOTOCORP LTD,DEACTIVE,27-06-2022,MP,2008,personal,12-01-2031
UP 84 MA 1761,no,0,Yellow,14-07-2024,10-02-2027,Reliance General,Hyundai,ACTIVE,03-11-2014,UP,2012,personal,27-11-2028
ML 49 LB 9405,yes,2,White,19-02-2033,05-03-2025,SBI General,Hyundai,DEACTIVE,17-02-2012,ML,2007,personal,26-10-2027
WB 35 WB 6646,yes,10,Silver,13-09-2023,03-06-2030,SBI General,Honda,DEACTIVE,05-06-2010,WB,2013,personal,17-08-2027
SK 45 XA 9498,no,0,Blue,14-12-2028,19-04-2025,ICICI LOMBARD,Maruti Suzuki,DEACTIVE,03-01-2021,SK,2018,commercial,03-08-2031
UK 46 BZ 7294,no,0,Yellow,30-06-2027,12-02-2032,SBI General,Toyota,DEACTIVE,07-07-2020,UK,2010,personal,30-03-2029
PB 18 RW 2461,no,0,Silver,28-02-2027,01-03-2031,SBI General,Maruti Suzuki,DEACTIVE,21-04-2013,PB,2013,personal,01-05-2031
AR 88 TT 2054,yes,7,Red,02-07-2028,02-01-2025,SBI General,Toyota,ACTIVE,20-02-2018,AR,2013,personal,29-11-2028
HP 62 CT 5804,no,0,Green,26-08-2024,12-02-2032,New India Assurance,Maruti Suzuki,ACTIVE,25-05-2019,HP,2020,commercial,14-05-2026
JK 68 WQ 4672,yes,9,White,27-03-2033,12-08-2026,ICICI LOMBARD,Hyundai,ACTIVE,04-08-2011,JK,2002,personal,16-10-2029
HR 34 OV 9863,yes,4,White,24-04-2031,01-06-2033,Tata AIG,Honda,DEACTIVE,11-03-2017,HR,2015,commercial,24-06-2031
BR 51 PH 3580,yes,3,Green,23-12-2025,09-08-2024,Oriental Insurance,Honda,DEACTIVE,17-03-2018,BR,2021,personal,13-03-2027
CG 78 JG 7165,yes,1,Black,06-11-2024,03-07-2033,Future Generali,HERO MOTOCORP LTD,DEACTIVE,27-10-2017,CG,2016,commercial,31-08-2028
MZ 24 AX 6694,yes,9,White,09-06-2027,31-01-2029,ICICI LOMBARD,Maruti Suzuki,DEACTIVE,29-10-2015,MZ,2023,personal,22-08-2032
MH 36 ZR 6172,yes,9,White,12-07-2028,12-08-2028,New India Assurance,Honda,DEACTIVE,03-12-2017,MH,2004,personal,15-01-2025
MH 66 IH 9892,yes,1,Black,27-07-2030,08-07-2033,SBI General,Toyota,ACTIVE,22-07-2011,MH,2010,commercial,20-01-2032
CG 46 RZ 4929,no,0,Red,06-09-2028,05-10-2031,ICICI LOMBARD,Hyundai,DEACTIVE,27-05-2010,CG,2016,personal,15-10-2024
GJ 69 HO 7837,no,0,Black,18-11-2027,08-01-2025,ICICI LOMBARD,Hyundai,ACTIVE,10-07-2017,GJ,2023,personal,18-02-2032
JK 45 PZ 1993,no,0,White,11-12-2027,19-05-2025,SBI General,Tata Motors,ACTIVE,26-10-2018,JK,2006,personal,10-08-2029
BR 39 MI 9607,yes,5,Green,09-07-2030,12-05-2031,Bajaj Allianz,Tata Motors,DEACTIVE,13-03-2011,BR,2001,commercial,02-10-2031
MZ 31 IZ 3714,no,0,Blue,09-09-2023,29-11-2028,HDFC ERGO,Honda,ACTIVE,05-05-2018,MZ,2021,personal,09-02-2032
TN 93 GL 9365,yes,5,White,26-10-2026,10-02-2028,New India Assurance,Hyundai,ACTIVE,12-01-2016,TN,2020,commercial,06-09-2032
HP 58 GO 5101,yes,3,Red,24-09-2026,23-06-2024,Bajaj Allianz,Honda,ACTIVE,23-11-2017,HP,2000,personal,10-07-2032
NL 74 EE 3049,yes,2,Black,07-05-2030,17-07-2024,Reliance General,Toyota,DEACTIVE,03-01-2011,NL,2011,personal,14-10-2032
OD 85 LZ 5381,no,0,Red,23-06-2026,25-07-2029,Reliance General,Hyundai,ACTIVE,16-06-2010,OD,2019,personal,07-11-2029
AP 27 OP 5021,yes,1,Red,14-12-2028,26-08-2032,Reliance General,HERO MOTOCORP LTD,DEACTIVE,15-11-2022,AP,2004,personal,06-06-2029
BR 65 VA 2442,no,0,Yellow,27-06-2027,22-09-2025,New India Assurance,Tata Motors,ACTIVE,31-03-2023,BR,2023,commercial,22-04-2031
KL 76 XJ 1580,no,0,Yellow,24-08-2025,11-03-2033,ICICI LOMBARD,Toyota,DEACTIVE,03-10-2017,KL,2013,commercial,08-11-2032
GA 33 ZT 7788,yes,3,Green,22-05-2031,02-05-2027,HDFC ERGO,Honda,DEACTIVE,19-08-2021,GA,2007,commercial,03-05-2029
AP 95 RB 1425,yes,6,Red,06-10-2032,29-12-2025,United India Insurance,Hyundai,ACTIVE,08-05-2023,AP,2002,commercial,31-07-2026
GJ 99 AE 5825,no,0,Black,14-11-2027,07-07-2029,Oriental Insurance,Maruti Suzuki,ACTIVE,10-09-2022,GJ,2005,commercial,18-01-2027
MZ 46 KG 6555,yes,6,Green,12-04-2032,03-02-2026,SBI General,Maruti Suzuki,DEACTIVE,12-05-2022,MZ,2016,commercial,25-11-2023
KA 30 JV 4617,yes,8,Red,25-08-2030,08-06-2032,New India Assurance,Honda,ACTIVE,23-08-2010,KA,2021,personal,24-11-2029
UK 68 PX 8140,yes,6,Green,18-06-2032,04-05-2028,SBI General,HERO MOTOCORP LTD,DEACTIVE,15-09-2021,UK,2023,commercial,25-04-2033
WB 16 CY 9446,no,0,Silver,21-03-2024,13-03-2032,Future Generali,Toyota,DEACTIVE,15-02-2019,WB,2000,commercial,13-06-2026
AR 99 UI 7971,no,0,Yellow,05-09-2027,30-05-2031,United India Insurance,Hyundai,DEACTIVE,31-08-2019,AR,2011,personal,12-10-2029
KL 23 VE 4745,no,0,Green,28-11-2027,26-11-2028,Reliance General,Hyundai,ACTIVE,14-07-2011,KL,2011,personal,15-09-2030
AP 50 OL 7325,yes,3,White,06-03-2025,05-10-2023,United India Insurance,HERO MOTOCORP LTD,DEACTIVE,08-09-2020,AP,2014,personal,29-07-2031
RJ 94 NO 2583,no,0,Silver,11-02-2026,30-01-2032,New India Assurance,Toyota,DEACTIVE,26-05-2015,RJ,2004,personal,30-01-2029
AS 61 LK 1871,no,0,Yellow,20-12-2027,22-10-2029,ICICI LOMBARD,Maruti Suzuki,DEACTIVE,26-02-2023,AS,2000,commercial,22-04-2026
MZ 68 XA 3211,no,0,Black,31-01-2028,02-06-2031,Oriental Insurance,Maruti Suzuki,DEACTIVE,16-08-2014,MZ,2015,personal,30-08-2028
WB 74 WS 7109,yes,10,White,14-01-2027,15-09-2025,ICICI LOMBARD,Maruti Suzuki,DEACTIVE,02-04-2019,WB,2003,commercial,13-08-2024
MN 63 KG 5816,no,0,Red,27-12-2031,21-09-2032,Bajaj Allianz,Maruti Suzuki,ACTIVE,17-01-2011,MN,2001,personal,08-02-2031
TR 55 GZ 4149,no,0,Red,10-06-2030,04-12-2027,Reliance General,HERO MOTOCORP LTD,DEACTIVE,05-05-2014,TR,2002,personal,20-02-2024
MH 10 ZA 6077,no,0,Blue,05-05-2029,04-12-2029,ICICI LOMBARD,Maruti Suzuki,DEACTIVE,17-01-2010,MH,2014,commercial,22-01-2026
GJ 34 RS 2130,no,0,White,24-01-2028,13-05-2026,New India Assurance,Hyundai,ACTIVE,08-12-2022,GJ,2007,commercial,26-11-2029
TS 91 PT 6534,no,0,White,01-10-2030,19-06-2027,Reliance General,Hyundai,ACTIVE,27-04-2023,TS,2006,commercial,17-08-2024
NL 33 MS 4378,no,0,Black,26-05-2033,16-12-2024,SBI General,HERO MOTOCORP LTD,DEACTIVE,19-10-2019,NL,2013,personal,05-12-2023
ML 66 GZ 1927,yes,8,Red,26-12-2023,30-07-2030,Reliance General,Maruti Suzuki,ACTIVE,20-11-2017,ML,2000,commercial,23-09-2025
ML 11 RI 8787,yes,10,Silver,26-01-2028,04-05-2031,New India Assurance,Hyundai,DEACTIVE,18-11-2020,ML,2014,commercial,03-02-2031
HR 91 FL 6596,no,0,White,25-02-2024,04-03-2030,HDFC ERGO,Maruti Suzuki,DEACTIVE,01-03-2012,HR,2007,commercial,07-08-2026
BR 66 WS 3822,no,0,White,22-10-2027,22-07-2033,New India Assurance,Hyundai,ACTIVE,31-07-2019,BR,2014,personal,28-02-2033
CG 57 RA 5993,yes,7,White,24-01-2031,02-07-2025,ICICI LOMBARD,HERO MOTOCORP LTD,DEACTIVE,27-01-2017,CG,2016,commercial,26-03-2027
HR 57 JD 6767,no,0,Green,12-11-2031,15-05-2030,Future Generali,Toyota,ACTIVE,03-02-2021,HR,2007,commercial,30-09-2024
KA 55 GH 6315,yes,9,Green,05-03-2033,07-04-2030,HDFC ERGO,HERO MOTOCORP LTD,DEACTIVE,02-03-2016,KA,2009,personal,10-03-2033
BR 31 RK 5868,yes,4,Silver,28-03-2031,05-04-2026,New India Assurance,Tata Motors,ACTIVE,07-04-2022,BR,2017,personal,17-11-2029
UP 79 SE 6726,no,0,Silver,10-08-2026,28-03-2024,Future Generali,Hyundai,ACTIVE,25-09-2020,UP,2021,commercial,24-01-2029
HP 78 IB 5551,no,0,Black,20-08-2024,18-06-2030,SBI General,Hyundai,DEACTIVE,18-02-2021,HP,2008,commercial,05-01-2031
WB 49 HY 1251,yes,1,Black,22-05-2025,27-02-2024,Bajaj Allianz,Tata Motors,DEACTIVE,21-05-2022,WB,2014,commercial,30-07-2024
WB 60 XK 7033,yes,10,Blue,25-06-2024,16-02-2030,United India Insurance,Honda,DEACTIVE,23-10-2013,WB,2004,commercial,19-12-2029
OD 89 TV 5229,no,0,Red,16-03-2026,23-10-2027,New India Assurance,Toyota,DEACTIVE,25-04-2021,OD,2012,commercial,11-12-2027
CG 81 FK 3275,no,0,Yellow,10-08-2024,10-02-2029,Oriental Insurance,Hyundai,DEACTIVE,11-03-2023,CG,2001,commercial,18-03-2029
UP 41 ZK 2547,no,0,Black,06-03-2027,31-10-2027,Reliance General,HERO MOTOCORP LTD,ACTIVE,27-08-2011,UP,2021,commercial,23-07-2027
TN 37 XT 8361,yes,4,Black,10-07-2026,29-10-2030,United India Insurance,Maruti Suzuki,ACTIVE,01-11-2014,TN,2014,commercial,14-12-2023
AP 34 GE 1263,yes,4,Red,21-12-2027,26-03-2028,Future Generali,HERO MOTOCORP LTD,DEACTIVE,09-09-2020,AP,2021,commercial,01-08-2026
AS 54 LJ 5934,no,0,Blue,10-11-2025,12-05-2025,Bajaj Allianz,Tata Motors,DEACTIVE,19-08-2012,AS,2013,commercial,11-11-2025
KA 53 DC 2284,yes,5,Black,12-09-2029,25-08-2031,HDFC ERGO,HERO MOTOCORP LTD,DEACTIVE,29-11-2014,KA,2023,personal,07-01-2029
GA 77 EO 9924,no,0,Silver,14-02-2029,08-08-2024,Tata AIG,Toyota,DEACTIVE,20-06-2015,GA,2000,personal,24-04-2025
KL 68 ID 6188,yes,7,Silver,07-10-2027,18-10-2027,HDFC ERGO,Toyota,DEACTIVE,17-07-2012,KL,2023,personal,26-09-2024
GJ 40 WI 5334,yes,3,Silver,06-09-2025,01-05-2031,Oriental Insurance,Honda,DEACTIVE,29-07-2016,GJ,2022,personal,21-01-2024
UK 37 FS 2109,no,0,Yellow,15-08-2026,21-09-2025,Oriental Insurance,Tata Motors,DEACTIVE,15-03-2021,UK,2002,commercial,27-09-2026
CG 96 LK 9974,yes,1,Red,20-04-2029,13-07-2025,Future Generali,Honda,ACTIVE,14-12-2022,CG,2020,personal,25-06-2029
AP 18 TR 3428,yes,3,Silver,05-12-2024,07-11-2029,HDFC ERGO,Maruti Suzuki,ACTIVE,19-10-2014,AP,2003,personal,26-03-2033
BR 68 NK 3315,no,0,Green,27-02-2025,01-06-2033,ICICI LOMBARD,Tata Motors,DEACTIVE,13-02-2014,BR,2011,commercial,13-08-2026
AR 73 JO 4162,no,0,Green,04-12-2031,02-09-2030,Oriental Insurance,Toyota,ACTIVE,26-06-2016,AR,2009,personal,10-11-2026
BR 92 HI 9602,yes,8,Blue,04-09-2024,08-01-2024,New India Assurance,Maruti Suzuki,DEACTIVE,17-01-2013,BR,2009,personal,01-11-2030
HR 95 OU 9888,no,0,Black,17-12-2027,30-04-2030,Oriental Insurance,Hyundai,DEACTIVE,03-01-2021,HR,2008,personal,31-10-2024
TR 60 BU 2655,no,0,Green,21-05-2027,11-08-2029,HDFC ERGO,Hyundai,ACTIVE,22-11-2022,TR,2011,personal,03-08-2031
HR 85 ZH 8012,no,0,Red,27-02-2027,01-03-2027,New India Assurance,Tata Motors,DEACTIVE,30-10-2014,HR,2014,commercial,12-01-2032
HP 50 UD 7145,no,0,Black,25-12-2030,03-09-2023,ICICI LOMBARD,Honda,DEACTIVE,24-03-2010,HP,2010,personal,07-06-2029
TS 92 MO 1172,yes,6,Blue,21-02-2027,07-05-2027,Oriental Insurance,Maruti Suzuki,DEACTIVE,06-11-2021,TS,2006,commercial,07-12-2025
MH 28 EQ 9259,no,0,Red,08-05-2027,30-04-2030,Oriental Insurance,HERO MOTOCORP LTD,DEACTIVE,17-04-2015,MH,2013,commercial,14-03-2026
NL 72 HM 1506,no,0,Yellow,16-06-2031,05-05-2033,ICICI LOMBARD,HERO MOTOCORP LTD,ACTIVE,09-12-2016,NL,2007,personal,26-03-2029
GJ 25 AS 2384,yes,6,Red,21-04-2030,13-08-2030,HDFC ERGO,Hyundai,DEACTIVE,24-04-2017,GJ,2019,commercial,09-01-2033
TS 51 SU 6281,yes,2,Red,22-08-2029,12-07-2032,Bajaj Allianz,Maruti Suzuki,DEACTIVE,19-12-2014,TS,2002,personal,24-09-2030
PB 87 DX 6595,no,0,Black,27-05-2027,07-08-2024,Tata AIG,HERO MOTOCORP LTD,DEACTIVE,29-07-2010,PB,2005,commercial,14-08-2028
MH 13 LJ 3732,no,0,Blue,29-12-2029,05-02-2033,SBI General,Honda,ACTIVE,06-06-2012,MH,2001,personal,26-09-2030
TS 69 EI 7486,no,0,White,18-05-2026,30-03-2025,Tata AIG,Toyota,DEACTIVE,18-02-2010,TS,2007,commercial,12-09-2027
KA 26 ZL 2851,yes,3,Silver,18-11-2023,04-09-2026,Reliance General,Honda,ACTIVE,20-06-2023,KA,2017,commercial,02-06-2026
KL 47 VI 9404,no,0,Yellow,18-08-2032,08-05-2029,United India Insurance,Tata Motors,DEACTIVE,21-08-2012,KL,2011,personal,02-05-2025
AP 68 DJ 6609,no,0,Red,25-08-2029,08-04-2028,New India Assurance,HERO MOTOCORP LTD,ACTIVE,15-09-2017,AP,2012,commercial,17-08-2028
TN 42 QQ 6113,no,0,Black,31-07-2024,15-05-2033,ICICI LOMBARD,Toyota,DEACTIVE,17-12-2014,TN,2018,commercial,17-03-2025
UK 82 UB 6902,no,0,Red,25-01-2025,15-05-2030,SBI General,Maruti Suzuki,ACTIVE,04-09-2018,UK,2010,personal,19-01-2028
UP 36 AQ 3062,yes,10,Yellow,21-06-2033,26-10-2027,New India Assurance,Toyota,DEACTIVE,18-10-2013,UP,2009,commercial,11-06-2029
OD 66 JL 8580,yes,3,Blue,13-09-2028,17-10-2025,ICICI LOMBARD,Toyota,DEACTIVE,03-05-2010,OD,2005,personal,19-11-2031
HP 75 SA 5688,yes,5,Yellow,16-11-2025,18-07-2024,Bajaj Allianz,Maruti Suzuki,DEACTIVE,23-12-2016,HP,2001,personal,12-03-2032
AS 56 KR 2360,yes,1,Green,25-09-2024,27-10-2026,HDFC ERGO,Tata Motors,DEACTIVE,06-04-2022,AS,2009,commercial,13-07-2032
NL 16 NC 5050,yes,4,Blue,18-07-2029,24-02-2033,HDFC ERGO,Hyundai,ACTIVE,29-11-2018,NL,2003,personal,23-02-2024
MH 89 BU 3110,yes,3,Green,11-05-2032,05-07-2029,New India Assurance,Toyota,ACTIVE,20-08-2017,MH,2001,personal,15-11-2023
RJ 37 BN 3419,no,0,Blue,20-05-2031,12-05-2024,Future Generali,Hyundai,ACTIVE,12-05-2010,RJ,2017,commercial,30-01-2026
CG 34 AG 5691,no,0,White,16-03-2026,26-01-2028,Reliance General,Maruti Suzuki,ACTIVE,16-11-2020,CG,2022,commercial,21-02-2032
HP 64 ZE 8675,yes,7,Green,23-08-2031,18-06-2024,SBI General,Toyota,ACTIVE,27-03-2022,HP,2011,personal,24-09-2032
SK 63 WX 3564,no,0,Red,06-12-2032,28-06-2025,Oriental Insurance,Tata Motors,DEACTIVE,27-05-2020,SK,2007,commercial,13-04-2031
KA 23 JI 9744,no,0,White,28-09-2027,12-10-2032,United India Insurance,HERO MOTOCORP LTD,DEACTIVE,19-10-2018,KA,2005,personal,03-11-2026
WB 76 BI 5503,no,0,Green,05-12-2027,22-08-2029,SBI General,Hyundai,DEACTIVE,10-01-2019,WB,2020,commercial,26-08-2027
MN 80 VR 9276,no,0,Blue,10-12-2027,26-10-2028,ICICI LOMBARD,Tata Motors,ACTIVE,21-08-2015,MN,2016,personal,22-04-2030
KL 77 SI 4858,no,0,White,10-02-2028,04-04-2026,SBI General,Tata Motors,DEACTIVE,03-06-2011,KL,2008,personal,14-09-2028
OD 18 EM 7685,no,0,Yellow,29-03-2032,04-03-2033,Oriental Insurance,Toyota,DEACTIVE,02-12-2012,OD,2012,commercial,22-08-2027
KL 71 OD 5825,no,0,Yellow,21-01-2033,14-06-2024,ICICI LOMBARD,Toyota,ACTIVE,21-06-2015,KL,2002,commercial,09-10-2024
UP 79 FC 9044,yes,4,Silver,28-03-2024,27-08-2030,HDFC ERGO,Tata Motors,ACTIVE,15-01-2019,UP,2022,commercial,22-01-2027
OD 69 XQ 5736,no,0,Black,19-07-2025,26-10-2026,Future Generali,Honda,ACTIVE,14-06-2010,OD,2022,commercial,10-04-2032
TR 69 TB 6903,no,0,White,26-10-2025,22-06-2030,SBI General,HERO MOTOCORP LTD,ACTIVE,22-03-2021,TR,2022,personal,14-11-2023
UK 81 PR 2766,yes,8,Green,01-12-2028,04-10-2028,Tata AIG,Honda,ACTIVE,01-09-2018,UK,2021,commercial,13-02-2027
BR 28 XL 8258,no,0,Red,15-10-2026,20-10-2029,Bajaj Allianz,Honda,DEACTIVE,23-11-2015,BR,2014,commercial,30-09-2032
TS 80 UG 3855,yes,3,Green,21-08-2027,11-03-2030,HDFC ERGO,Hyundai,DEACTIVE,17-03-2020,TS,2002,commercial,07-12-2025
MZ 19 TS 2650,yes,1,White,15-02-2030,07-06-2024,HDFC ERGO,Tata Motors,ACTIVE,26-07-2016,MZ,2003,commercial,11-12-2023
